,dreamteam_count,now_cost,points_per_game,selected_by_percent,total_points,transfers_in,transfers_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,team,position,player_name
0,1,4.5,2.5,0.8,10,80974,205566,360,0,0,1,9,0,0,0,0,0,10,0,69,85.0,0.0,0.0,8.5,Arsenal,Goalkeeper,Bernd Leno
1,0,9.6,3.1,1.2,44,742898,900060,1036,4,1,6,16,0,0,2,3,0,0,7,131,217.6,132.4,582.0,92.9,Arsenal,Forward,Pierre-Emerick Aubameyang
2,1,4.2,2.3,0.4,48,66997,55154,1481,1,1,3,27,0,0,0,3,0,0,3,292,318.4,327.1,111.0,75.8,Arsenal,Defender,Cédric Soares
3,1,8.1,3.0,3.1,90,1729889,1688857,1773,4,8,10,17,0,0,1,0,0,0,3,295,376.6,386.2,731.0,148.5,Arsenal,Forward,Alexandre Lacazette
4,0,4.8,2.2,0.4,60,49300,97620,2327,1,2,6,38,0,0,0,10,1,0,3,334,395.4,522.9,262.0,118.2,Arsenal,Midfielder,Granit Xhaka
5,0,4.2,0.5,0.1,1,5760,15133,180,0,0,0,4,0,0,0,1,0,0,0,35,55.4,12.3,11.0,7.9,Arsenal,Defender,Pablo Marí
6,0,4.2,0.0,0.1,0,3727,11689,91,0,0,0,5,0,0,0,1,0,0,0,6,4.2,0.2,0.0,0.4,Arsenal,Defender,Sead Kolasinac
7,0,4.4,1.9,0.4,27,46697,77648,801,0,2,0,17,0,0,0,1,0,0,0,156,163.2,131.5,49.0,34.4,Arsenal,Midfielder,Mohamed Naser El Sayed Elneny
8,0,5.2,1.5,0.0,12,4745,9803,263,0,0,2,4,0,0,0,0,0,0,0,44,42.6,41.3,9.0,9.3,Arsenal,Midfielder,Ainsley Maitland-Niles
9,1,4.1,1.9,0.8,29,111354,205215,840,1,0,2,16,0,0,0,2,1,0,2,152,253.0,8.6,49.0,31.1,Arsenal,Defender,Rob Holding
10,1,5.0,3.0,0.2,71,92507,88564,2027,2,2,10,25,0,0,0,6,0,0,4,345,359.6,275.5,394.0,103.0,Arsenal,Midfielder,Thomas Partey
11,3,4.9,4.8,4.7,106,2015908,2258262,1916,1,3,11,21,0,0,0,0,0,0,11,454,365.2,335.9,198.0,90.1,Arsenal,Defender,Kieran Tierney
12,0,6.9,2.2,0.7,45,138606,359347,681,1,4,2,9,0,0,0,0,0,0,1,127,149.4,216.9,400.0,76.3,Arsenal,Midfielder,Nicolas Pépé
13,2,5.7,2.6,11.5,55,1215172,181246,823,5,1,0,18,0,0,0,3,0,0,6,194,249.2,165.2,408.0,82.1,Arsenal,Forward,Edward Nketiah
14,1,5.7,3.8,10.0,125,3951517,3748602,1909,10,2,8,28,0,0,0,1,0,0,9,435,555.8,453.3,576.0,158.4,Arsenal,Midfielder,Emile Smith Rowe
15,4,6.7,4.7,28.8,179,5143893,3762118,2978,11,9,13,39,0,0,0,6,0,0,18,566,790.4,977.8,1434.0,320.0,Arsenal,Midfielder,Bukayo Saka
16,5,5.3,4.2,7.4,146,1601760,1014553,3063,5,0,13,38,0,0,0,6,1,0,16,682,746.8,131.6,470.0,134.7,Arsenal,Defender,Gabriel Magalhães
17,1,5.3,3.8,3.1,110,1425921,1158855,1855,6,7,7,25,0,0,0,1,1,0,6,345,475.8,483.3,786.0,174.7,Arsenal,Midfielder,Gabriel Teodoro Martinelli Silva
18,0,4.6,3.3,12.4,107,1839917,2576098,2880,0,0,13,35,1,0,0,3,0,0,9,557,592.8,182.3,150.0,92.5,Arsenal,Defender,Ben White
19,1,4.3,2.2,1.0,49,190787,139134,1169,1,1,3,19,0,0,0,2,0,0,2,199,201.0,188.2,221.0,61.1,Arsenal,Defender,Nuno Varela Tavares
20,0,4.8,1.7,0.1,32,21915,33912,1129,0,0,7,11,0,0,0,5,0,0,0,173,192.4,263.4,108.0,56.3,Arsenal,Midfielder,Albert Sambi Lokonga
21,0,4.7,1.0,0.2,2,62383,81750,69,0,0,0,1,0,0,0,0,0,0,0,2,4.2,3.7,17.0,1.9,Arsenal,Forward,Folarin Balogun
22,0,5.0,1.0,0.0,1,468,1075,19,0,0,0,1,0,0,0,0,0,0,0,4,4.0,11.6,20.0,3.6,Arsenal,Midfielder,Reiss Nelson
23,2,5.6,3.6,6.0,131,1592680,1121518,2782,7,4,11,39,0,0,0,4,0,0,9,541,676.6,1073.2,639.0,238.2,Arsenal,Midfielder,Martin Ødegaard
24,3,5.1,4.0,17.1,135,2974404,1615861,3060,0,0,12,39,0,0,0,1,0,90,14,641,690.2,1.0,0.0,69.0,Arsenal,Goalkeeper,Aaron Ramsdale
25,1,4.5,3.6,1.9,75,831427,715081,1680,0,1,9,20,0,0,0,2,0,0,5,344,312.4,240.9,110.0,66.4,Arsenal,Defender,Takehiro Tomiyasu
26,1,4.2,3.2,0.4,42,49077,51749,999,1,0,4,16,0,0,0,1,0,0,2,198,250.6,53.1,63.0,36.7,Aston Villa,Defender,Calum Chambers
27,0,3.9,1.0,1.7,1,325469,296097,90,0,0,0,3,0,0,0,0,0,1,0,13,8.2,0.0,0.0,0.8,Aston Villa,Goalkeeper,Jed Steer
28,2,5.5,3.6,11.4,129,774970,2408848,3240,0,0,11,48,0,1,0,4,0,95,7,651,755.8,0.0,0.0,75.4,Aston Villa,Goalkeeper,Emiliano Martínez
29,0,5.7,1.4,0.3,13,14574,144221,212,0,1,0,3,0,0,0,0,0,0,0,41,21.0,10.6,90.0,11.8,Aston Villa,Midfielder,Bertrand Traoré
30,0,5.0,1.3,0.0,13,2674,3180,349,0,0,0,8,0,0,0,0,0,0,0,61,52.8,36.6,3.0,9.4,Aston Villa,Midfielder,Morgan Sanson
31,2,5.6,3.1,1.1,110,347733,356112,3090,3,4,10,48,0,0,0,8,0,0,12,495,700.2,777.8,307.0,178.6,Aston Villa,Midfielder,John McGinn
32,1,4.4,2.9,0.2,20,40715,42999,397,1,0,1,9,0,0,0,0,0,0,3,89,102.8,5.9,64.0,17.3,Aston Villa,Defender,Kortney Hause
33,0,5.4,1.0,0.0,1,3656,4041,10,0,0,0,1,0,0,0,0,0,0,0,4,1.8,2.0,10.0,1.4,Aston Villa,Midfielder,Mahmoud Ahmed Ibrahim Hassan
